Data;Cota (m);Caudal Afluente (m3/s);Caudal Efluente (m3/s);Precipitacao (mm);Evaporacao (mm);Volume Evaporado (mm3);Humidade Relativa (%)
4/12/2010;321,78;1555;2101;12,8;5,7;13,39;77
5/12/2010;321,76;1413;1958;0;5,1;12,07;63
6/12/2010;321,76;2114;2114;56;4,7;11,13;88
7/12/2010;321,76;2118;2118;54,1;4,1;9,62;97
8/12/2010;321,85;4577;2119;71,5;3,4;8,05;98
9/12/2010;321,9;3471;2102;77,5;0,2;0,52;98
10/12/2010;321,9;2073;2073;5,6;3;7,19;96
11/12/2010;321,9;3199;3199;0;4,9;11,54;68
12/12/2010;321,86;1979;3074;17,5;7,7;18,25;73
13/12/2010;321,85;2893;3166;10,4;6,7;15,74;89
14/12/2010;321,84;2927;3200;3,4;6,8;16,16;66
15/12/2010;321,8;2084;3176;0;5,4;12,79;71
16/12/2010;321,78;2663;3209;0;4,5;10,57;80
17/12/2010;321,74;2013;3104;0;8,6;20,22;63
18/12/2010;321,67;1983;3889;0;6,2;14,56;63
19/12/2010;321,6;1864;3766;0;6,6;15,46;76
20/12/2010;321,52;1616;3785;0;4,5;10,58;70
21/12/2010;321,49;3123;3935;9,5;2,5;5,9;93
22/12/2010;321,42;2082;3973;0;2,1;4,95;80
23/12/2010;321,3;1001;4234;3,2;4,3;10,11;74
24/12/2010;321,2;2483;5168;0;5,4;12,6;60
25/12/2010;321,07;1724;5203;8,9;5,1;11,74;79
26/12/2010;320,93;1544;5275;2,1;4,3;9,97;70
27/12/2010;320,82;2351;5271;2,7;3,6;8,28;91
28/12/2010;320,72;2260;4907;0;4,9;11,29;86
29/12/2010;320,68;2929;3985;0;1;2,19;79
30/12/2010;320,63;2062;3380;8,9;6,9;15,68;78
31/12/2010;320,61;2397;2924;0;4,2;9,61;75
1/1/2011;320,59;1949;2476;13,1;8,8;20,04;85
2/1/2011;320,61;2448;1922;0;5,6;12,72;89
3/1/2011;320,62;2193;1930;0;4,7;10,74;82
4/1/2011;320,6;1329;1855;0;4,8;11,01;80
5/1/2011;320,57;1146;1936;0;5,9;13,46;78
6/1/2011;320,58;2201;1938;0;4,3;9,82;71
7/1/2011;320,57;1672;1935;0,5;3,8;8,59;76
8/1/2011;320,58;2213;1949;1,2;5,8;13,08;80
9/1/2011;320,59;2201;1938;0;4,3;9,85;82
10/1/2011;320,59;1948;1948;3,7;6;13,72;67
11/1/2011;320,58;1678;1941;0;4,2;9,64;70
12/1/2011;320,59;2217;1954;20,2;3,4;7,82;97
13/1/2011;320,58;1664;1927;2;4,1;9,37;85
14/1/2011;320,58;1900;1900;22,8;1,2;2,8;84
15/1/2011;320,62;2775;1722;36,1;2,5;5,76;98
16/1/2011;320,68;3527;1945;0,5;3,8;8,59;83
17/1/2011;320,69;2208;1944;29,1;5,2;11,9;70
18/1/2011;320,73;2962;1905;28;3,4;7,65;92
19/1/2011;320,78;3273;1950;22,9;7,7;17,63;90
20/1/2011;320,83;3252;1927;23,2;5,5;12,5;82
21/1/2011;320,91;4062;1938;26,1;6,4;14,64;74
22/1/2011;320,91;3169;3169;19,4;4,1;9,32;70
23/1/2011;320,89;3081;3612;0;5,8;13,27;68
24/1/2011;320,86;2813;3609;0;4,9;11,29;80
25/1/2011;320,96;6269;3611;19,6;1,1;2,53;97
26/1/2011;321,05;6009;3610;3,7;4,3;9,86;82
27/1/2011;321,17;6807;3598;3,1;6,9;15,94;81
28/1/2011;321,29;6455;3234;29,7;2,2;5,2;87
29/1/2011;321,35;5201;3586;0;3,5;8,19;94
30/1/2011;321,53;8223;3361;2;4,6;10,74;98
31/1/2011;321,65;7292;4036;1,9;1,7;3,94;90
1/2/2011;321,78;8062;4522;3,7;6;14,16;82
2/2/2011;321,84;6526;4887;0;5,4;12,69;88
3/2/2011;321,9;6639;4998;11,9;6,5;15,31;75
4/2/2011;321,87;5321;6142;0;4,7;11,02;86
5/2/2011;321,9;7105;6283;0,4;5,8;13,62;80
6/2/2011;321,95;7677;6306;0,5;4,4;10,47;82
7/2/2011;321,98;7350;6527;0;6;14,27;76
8/2/2011;322;6925;6376;0;5,3;12,5;83
9/2/2011;322;6276;6276;0;5,2;12,22;80
10/2/2011;321,98;5742;6291;0;4;9,44;87
11/2/2011;321,99;6667;6392;6,9;3,4;7,99;95
12/2/2011;322,05;7204;5555;9,6;5,9;14,1;82
13/2/2011;322,11;6140;4488;0;5,1;12,2;74
14/2/2011;322,17;6105;4450;0,7;6,8;16,23;80
15/2/2011;322,3;8183;4587;0;6,1;14,49;76
16/2/2011;322,45;8096;3930;0;5,5;13,3;69
17/2/2011;322,61;6729;2264;0;5;12,03;64
18/2/2011;322,71;4766;1965;0;5,4;13,07;76
19/2/2011;322,75;2977;1854;0;6,7;16,19;67
20/2/2011;322,74;1586;1867;0;9,7;20,74;64
21/2/2011;322,74;1747;1747;0;5,4;13,16;70
22/2/2011;322,73;1846;2127;0;4,8;11,69;73
23/2/2011;322,71;1607;2168;0;5,7;13,82;78
24/2/2011;322,7;1720;2000;0;7,1;17,16;74
25/2/2011;322,72;2435;1874;0;7,7;18,66;70
26/2/2011;322,73;2229;1864;0;6,3;15,18;80
27/2/2011;322,73;1786;1871;0;6,8;16,55;74
28/2/2011;322,78;3283;1879;0;5,6;13,55;78
1/3/2011;322,79;2396;2115;0;8,1;19,75;71
2/3/2011;322,82;2947;2103;0;2,8;6,9;79
3/3/2011;322,83;2529;2247;0;4,6;11,11;81
4/3/2011;322,84;2293;2011;0;6,1;14,74;82
5/3/2011;322,87;2684;1839;0;4,5;11,05;76
6/3/2011;322,9;2672;1826;0;6,7;16,22;87
7/3/2011;322,95;3220;1808;0;4,8;11,7;80
8/3/2011;323,02;4217;2237;0;5,7;13,92;69
9/3/2011;323,06;4306;3173;0;3,7;9,01;79
10/3/2011;323,14;5653;3383;0;2,5;6,18;79
11/3/2011;323,26;6932;3517;16,6;0,6;1,43;94
12/3/2011;323,34;5829;3545;8,5;2,6;6,34;89
13/3/2011;323,4;5258;3541;0,7;5,7;14,01;88
14/3/2011;323,47;5524;3518;0;5,5;13,6;87
15/3/2011;323,51;4691;3543;6,2;5,2;12,95;90
16/3/2011;323,57;5268;3544;9,7;5,7;14,04;79
17/3/2011;323,68;5904;2734;15,6;4,8;11,96;99
18/3/2011;323,85;6757;1838;0;2,8;6,9;92
19/3/2011;323,94;4521;1907;3,9;7;17,46;80
20/3/2011;324,07;5721;1933;0;3,9;9,87;93
21/3/2011;324,11;3128;1959;0;3,7;9,34;77
22/3/2011;324,15;3139;1969;0;3,7;9,4;72
23/3/2011;324,22;3975;1925;4,1;7;17,71;90
24/3/2011;324,25;2747;1867;22,1;4,2;10,74;94
25/3/2011;324,27;2344;1757;0;5,1;13,01;68
26/3/2011;324,29;2317;1729;0;2,8;7,03;75
27/3/2011;324,33;2978;1802;0;6;15,24;75
28/3/2011;324,32;2739;3033;2,6;4,9;12,55;87
29/3/2011;324,29;2627;3509;0;5,2;13,31;91
30/3/2011;324,26;2662;3543;0;6;15,27;71
31/3/2011;324,25;3229;3523;0;5,8;14,7;75
1/4/2011;324,2;1943;3409;0;6,3;15,86;65
2/4/2011;324,14;1797;3554;0;5,1;12,93;68
3/4/2011;324,13;3251;3543;0,6;6,1;15,44;82
4/4/2011;324,09;2370;3539;0;4,6;11,61;65
5/4/2011;324,04;2089;3548;6,5;3,9;9,83;92
6/4/2011;324,01;2676;3550;0,4;3,2;8,06;92
7/4/2011;323,94;1519;3557;0,8;3,1;7,75;97
8/4/2011;323,91;2686;3558;0;5,3;13,41;87
9/4/2011;323,86;2049;3501;20,9;1,6;4,06;95
10/4/2011;323,82;2422;3582;0;2,6;6,46;89
11/4/2011;323,78;2211;3370;0;4,9;12,16;70
12/4/2011;323,74;2026;3184;0;4,6;11,4;70
13/4/2011;323,71;2308;3175;0;3,9;9,79;75
14/4/2011;323,67;2035;3190;0;4,6;11,5;73
15/4/2011;323,64;2305;3170;0;3,5;8,62;70
16/4/2011;323,61;2309;3174;0;4,7;11,6;72
17/4/2011;323,56;1722;3161;0;7,5;18,7;76
18/4/2011;323,52;1604;2754;0;5,1;12,72;86
19/4/2011;323,55;2995;2133;0;4,3;10,7;87
20/4/2011;323,55;1723;1723;0;2,8;6,98;86
21/4/2011;323,55;1484;1484;0;4,4;11;84
22/4/2011;323,54;1137;1425;0;6,8;16,97;85
23/4/2011;323,54;2084;2084;0;4,6;11,33;90
24/4/2011;323,55;2410;2122;0;2,5;6,23;81
25/4/2011;323,54;1843;2131;0;4,8;11,97;76
26/4/2011;323,53;1892;2179;0;4,9;12,22;65
27/4/2011;323,51;1573;2148;0;5,5;13,65;55
28/4/2011;323,5;1870;2157;0;6,5;16,18;55
29/4/2011;323,47;1295;2156;0;6,5;16,04;85
30/4/2011;323,44;1125;1985;0,8;4,2;10,49;95
1/5/2011;323,43;1608;1895;0;5;12,43;70
2/5/2011;323,43;1847;1847;0;2,9;7,18;89
3/5/2011;323,42;1553;1840;0;4,1;10,03;80
4/5/2011;323,41;1208;1495;0;4,5;11,16;62
5/5/2011;323,42;1785;1499;0;3,3;8,14;71
6/5/2011;323,43;1753;1467;0;6,1;15,2;74
7/5/2011;323,43;1450;1450;0;6,2;15,35;58
8/5/2011;323,42;1161;1447;0;7,8;19,21;50
9/5/2011;323,4;880;1453;0;5,4;13,29;59
10/5/2011;323,41;1734;1448;0;2,3;5,62;69
11/5/2011;323,41;1421;1421;0;4,1;10,14;75
12/5/2011;323,41;1442;1442;0;5,1;12,67;75
13/5/2011;323,41;1441;1441;0;5,6;13,76;70
14/5/2011;323,41;1467;1467;0;5,7;13,98;66
15/5/2011;323,42;1744;1457;0;6;14,82;54
16/5/2011;323,41;1163;1449;0;5,4;13,36;45
17/5/2011;323,42;1758;1471;0;5,8;14,4;48
18/5/2011;323,45;1931;1071;0;5,4;13,42;65
19/5/2011;323,48;2368;1508;0;4,2;10,38;60
20/5/2011;323,47;1225;1512;0;3,9;9,76;91
21/5/2011;323,54;3289;1279;0;3,3;8,14;87
22/5/2011;323,6;3012;1286;0;3,1;7,8;86
23/5/2011;323,65;2948;1507;0;2,5;6,25;81
24/5/2011;323,71;3220;1488;0;4,1;10,13;62
25/5/2011;323,77;3241;1506;0;4,6;11,57;54
26/5/2011;323,82;2956;1508;0;6,6;16,62;52
27/5/2011;323,85;2375;1505;0;5,4;13,47;48
28/5/2011;323,89;2649;1488;0;3,8;9,43;57
29/5/2011;323,95;3194;1450;0;3,9;9,82;76
30/5/2011;324,02;3568;1530;0;4,5;11,2;70
31/5/2011;324,06;2792;1626;0;6,9;17,39;54
1/6/2011;324,07;2088;1796;0;5;12,51;56
2/6/2011;324,17;4782;1858;0;0,7;1,69;94
3/6/2011;324,28;5112;1887;0;1;2,53;95
4/6/2011;324,32;4282;3106;0;5,3;13,56;81
5/6/2011;324,37;5029;3558;0;4,6;11,66;76
6/6/2011;324,37;3481;3481;0;4,4;11,26;75
7/6/2011;324,4;4366;3482;0;5,1;13,02;64
8/6/2011;324,42;4169;3579;0;4,9;12,46;58
9/6/2011;324,46;4770;3590;0;3,2;8,19;66
10/6/2011;324,51;5058;3580;0;5,6;14,27;68
11/6/2011;324,52;3887;3592;0;5,2;13,29;74
12/6/2011;324,56;4676;3493;0;5,1;12,94;60
13/6/2011;324,59;4040;3151;0;3,9;9,86;62
14/6/2011;324,66;5081;3005;0;3,9;10,07;64
15/6/2011;324,71;4638;3152;0;3,7;9,4;83
16/6/2011;324,77;4922;3136;0;2,3;5,97;66
17/6/2011;324,83;4862;3073;0;2,5;6,36;52
18/6/2011;324,87;4232;3038;0;7,2;12,93;45
19/6/2011;324,89;3757;3160;0;5,3;13,62;85
20/6/2011;324,9;3683;3384;0;5;12,91;66
21/6/2011;324,88;2792;3390;0;5,6;14,56;61
22/6/2011;324,85;2458;3354;0;4,1;10,48;77
23/6/2011;324,84;3263;3562;0;3,9;10,01;94
24/6/2011;324,88;3560;2366;0;3,2;8,36;45
25/6/2011;324,92;2684;1488;0;5,5;14,24;37
26/6/2011;324,95;2900;2002;0;6,1;15,7;42
27/6/2011;325;3308;1810;0;6,1;15,87;52
28/6/2011;325,04;3026;1826;0;6,8;17,55;53
29/6/2011;325,09;3359;1857;0;6;15,47;44
30/6/2011;325,13;3023;1820;0;3,3;8,61;45
1/7/2011;325,18;3336;1830;0;7,2;18,63;48
2/7/2011;325,23;3192;1684;0;5,5;18,63;57
3/7/2011;325,27;3055;1847;0;5,5;18,63;46
4/7/2011;325,26;1468;1771;0;4,2;10,88;34
5/7/2011;325,24;1174;1778;0;2,9;7,48;78
6/7/2011;325,2;652;1828;0;4;10,43;66
7/7/2011;325,17;919;1853;0,4;3,3;8,49;73
8/7/2011;325,16;1519;1820;0;4,6;11,87;67
9/7/2011;325,15;1553;1854;0;1,7;4,37;75
10/7/2011;325,12;945;1848;2,1;1,4;3,7;97
11/7/2011;325,16;2922;1718;7,9;0,9;2,29;95
12/7/2011;325,15;1424;1726;1,6;2,1;5,41;95
13/7/2011;325,15;1775;1775;0;1,3;3,25;92
14/7/2011;325,13;1176;1778;0;3,5;9,18;89
15/7/2011;325,11;1248;1850;0;3,7;9,62;72
16/7/2011;325,11;1740;1740;0;4,4;11,38;71
17/7/2011;325,11;1702;1702;0;4,4;11,43;54
18/7/2011;325,1;1209;1509;0;4,3;11,14;61
19/7/2011;325,07;655;1557;0;4,7;12,12;61
20/7/2011;325,05;1130;1731;0;4,9;12,77;42
21/7/2011;325,04;1407;1707;0;4,9;12,74;62
22/7/2011;325,01;828;1728;0;4,4;11,3;73
23/7/2011;325;1444;1744;0;4,4;11,37;90
24/7/2011;325,01;1923;1623;0;4,1;10,67;93
25/7/2011;325;1163;1463;0;4,1;10,52;79
26/7/2011;325;1616;1616;0;5,1;13,21;44
27/7/2011;324,97;785;1684;0;3,2;8,36;80
28/7/2011;324,98;2013;1713;0;1,6;4,09;89
29/7/2011;324,95;901;1799;0;6,4;16,62;75
30/7/2011;324,9;374;1870;0;6,9;17,79;62
31/7/2011;324,9;1727;1727;0;4,3;11,16;78
1/8/2011;324,9;1880;1880;0;3,3;8,52;74
2/8/2011;324,88;1241;1839;0;2,7;6,92;79
3/8/2011;324,87;1440;1739;0;3,7;9,45;76
4/8/2011;324,87;1706;1706;0;4,5;11,51;62
5/8/2011;324,86;1558;1857;0;7,5;19,46;64
6/8/2011;324,85;1529;1827;0;6,2;16,1;59
7/8/2011;324,82;899;1794;0;6;15,34;82
8/8/2011;324,8;1224;1820;0;4,5;11,47;80
9/8/2011;324,79;1500;1798;0;4,7;12,27;76
10/8/2011;324,78;1509;1807;0;5,2;13,41;60
11/8/2011;324,76;1280;1875;0;5,6;14,52;60
12/8/2011;324,76;1879;1879;0;8,1;20,84;48
13/8/2011;324,75;1539;1837;0;7,1;18,21;40
14/8/2011;324,73;1271;1866;0;6,6;16,87;30
15/8/2011;324,71;1257;1852;0;6,2;15,82;60
16/8/2011;324,68;978;1870;0;4,6;11,76;95
17/8/2011;324,65;981;1872;0;4,7;11,98;85
18/8/2011;324,64;1543;1840;0;3,6;9,21;66
19/8/2011;324,63;1578;1875;0;5,1;13,08;68
20/8/2011;324,62;1577;1874;0;5,6;14,36;52
21/8/2011;324,6;1248;1841;0;8,2;20,9;56
22/8/2011;324,58;1244;1837;0;7,4;18,9;60
23/8/2011;324,58;1773;1773;0;6,5;16,54;85
24/8/2011;324,57;1521;1817;0;6,4;16,43;47
25/8/2011;324,55;1256;1848;0;5,9;14,99;76
26/8/2011;324,54;1575;1871;0;6,2;15,85;79
27/8/2011;324,52;1245;1837;0;6,7;17,17;62
28/8/2011;324,49;864;1751;0;5,1;12,92;75
29/8/2011;324,47;1283;1874;0,1;5,3;13,6;82
30/8/2011;324,46;1584;1879;0;5,6;14,26;80
31/8/2011;324,46;1688;1688;0;6,3;16,02;75
1/9/2011;324,46;1790;1790;0;5,7;14,64;70
2/9/2011;324,47;1582;1287;0;9;22,86;50
3/9/2011;324,45;713;1304;0;11,3;28,83;37
4/9/2011;324,47;1846;1256;0;7,3;18,65;62
5/9/2011;324,45;709;1300;0;7,4;18,9;60
6/9/2011;324,47;1919;1329;0;6;15,36;75
7/9/2011;324,47;1269;1269;0;7,6;19,49;78
8/9/2011;324,48;1588;1293;0;6,4;16,28;84
9/9/2011;324,45;899;1785;0;8,4;21,43;72
10/9/2011;324,43;1271;1861;0;7,7;19,6;48
11/9/2011;324,41;1290;1879;0;8,4;21,5;70
12/9/2011;324,4;1589;1884;0;7;17,88;76
13/9/2011;324,39;1591;1886;0;7,5;19,19;56
14/9/2011;324,37;1271;1860;0;4,8;12,11;41
15/9/2011;324,35;1292;1881;0;2,4;6,08;46
16/9/2011;324,32;1002;1884;0;2,9;7,4;73
17/9/2011;324,29;1007;1889;0;5,1;12,94;99
18/9/2011;324,28;1593;1887;0;5,9;15,02;74
19/9/2011;324,27;1593;1887;0;9,3;23,65;37
20/9/2011;324,24;1001;1882;0;9;22,83;32
21/9/2011;324,21;994;1873;0;9,4;23,92;44
22/9/2011;324,2;1554;1847;0;6,6;16,81;68
23/9/2011;324,17;951;1830;0;6,3;15,94;87
24/9/2011;324,13;715;1886;0;9,3;23,45;68
25/9/2011;324,1;959;1836;0;7,5;18,89;73
26/9/2011;324,09;1577;1869;0;5,7;14,36;61
27/9/2011;324,07;1276;1860;0;7,8;19,65;54
28/9/2011;324,04;1010;1886;0;7,1;17,84;47
29/9/2011;324,02;1329;1912;0;6,9;17,37;69
30/9/2011;323,99;1000;1874;0;8,2;20,56;46
1/10/2011;323,95;716;1881;0;8,4;21,04;56
2/10/2011;323,93;1281;1863;0;8,4;21,08;65
3/10/2011;323,93;1870;1870;0;8,5;21,3;50
4/10/2011;323,88;422;1875;0;4,1;10,34;63
5/10/2011;323,84;647;1808;0;4,8;11,96;86
6/10/2011;323,79;384;1833;0;5,3;13,19;68
7/10/2011;323,78;1752;2042;0;7,9;19,71;64
8/10/2011;323,77;1726;2015;0;7;17,53;70
9/10/2011;323,75;1415;1994;0;8,2;20,56;70
10/10/2011;323,72;1165;2032;0;8,7;21,77;72
11/10/2011;323,71;1756;2045;0;2,4;5,89;82
12/10/2011;323,66;489;1932;2,7;5,3;13,27;56
13/10/2011;323,65;1652;1940;5,9;6,4;15,97;75
14/10/2011;323,62;1118;1983;0;8,1;20,04;83
15/10/2011;323,6;1327;1903;0;6,9;17,25;60
16/10/2011;323,57;909;1773;0;9;22,44;51
17/10/2011;323,53;753;1903;0;8,7;21,7;50
18/10/2011;323,55;2477;1902;0;8,7;21,53;52
19/10/2011;323,52;1042;1905;0;11,3;28,03;53
20/10/2011;323,5;1333;1908;0;8,2;20,45;38
21/10/2011;323,44;186;1908;0;11,6;28,82;50
22/10/2011;323,45;2194;1908;0;7;17,37;75
23/10/2011;323,44;1476;1762;0;10,5;25,91;56
24/10/2011;323,4;684;1830;0;11,2;27,71;48
25/10/2011;323,41;1943;1657;0;10;24,83;40
26/10/2011;323,41;1828;1828;0;10,8;26,72;27
27/10/2011;323,38;988;1847;0;10,5;25,99;31
28/10/2011;323,38;1846;1846;0;13,6;33,64;44
29/10/2011;323,36;1293;1865;0;10,5;26,04;37
30/10/2011;323,34;1243;1814;0;11,1;27,33;55
31/10/2011;323,32;1272;1844;0;11,5;28,31;35
1/11/2011;323,26;196;1908;0;9,9;24,39;35
2/11/2011;323,2;204;1913;0;3,3;8,1;84
3/11/2011;323,25;3334;1910;7,4;1,4;3,37;95
4/11/2011;323,25;1913;1913;0;4,6;11,37;90
5/11/2011;323,22;1058;1912;0;6,4;15,76;74
6/11/2011;323,2;1343;1912;0;4,8;11,81;70
7/11/2011;323,19;1628;1913;43,7;5,6;13,84;90
8/11/2011;323,17;1343;1912;0;6,3;15,52;75
9/11/2011;323,14;987;1840;0;9;22,17;56
10/11/2011;323,13;1592;1876;0;9,2;22,48;47
11/11/2011;323,1;1047;1898;0;14,4;35,22;43
12/11/2011;323,08;1312;1880;0;10,5;25,71;41
13/11/2011;323,06;1327;1894;0;10,6;25,84;44
14/11/2011;323,02;617;1750;0;10,2;25,03;38
15/11/2011;322,96;902;2599;0;8,8;21,43;42
16/11/2011;322,96;2883;2883;0;8,4;20,51;64
17/11/2011;322,91;1473;2886;0;6,8;16,51;62
18/11/2011;322,85;1142;2834;4,1;9;21,82;52
19/11/2011;322,79;1176;2865;0;9,2;22,44;55
20/11/2011;322,73;1010;2695;0;8;19,46;80
21/11/2011;322,68;1457;2860;0;9,6;23,32;71
22/11/2011;322,62;1179;2859;0;9,8;23,68;48
23/11/2011;322,58;1702;2821;0;7,9;19,12;71
24/11/2011;322,54;1777;2895;0;5,8;14,03;64
25/11/2011;322,51;2064;2901;8,4;1,3;3,09;86
26/11/2011;322,45;1223;2895;0;4,7;11,4;86
27/11/2011;322,41;1712;2825;0;3;7,16;88
28/11/2011;322,33;628;2850;1,8;8,7;20,75;67
29/11/2011;322,29;1800;2909;0;8,4;20,09;60
30/11/2011;322,23;1250;2911;0;8,5;20,42;63
1/12/2011;322,19;1777;2882;0;8,4;19,94;62
2/12/2011;322,12;932;2864;0;11,4;27,18;50
3/12/2011;322,03;298;2776;0;10,2;24,23;36
4/12/2011;321,96;1002;2925;0;6;14,12;91
5/12/2011;321,92;2253;3350;0,4;3,8;8,94;93
6/12/2011;321,83;1177;3640;0;7,5;17,77;59
7/12/2011;321,75;1463;3647;0;9,8;23,12;43
8/12/2011;321,67;1338;3516;0;9,4;22,07;32
9/12/2011;321,57;914;3629;0;9,2;21,63;56
10/12/2011;321,5;1573;3470;0;8;18,63;48
11/12/2011;321,44;1737;3359;0;7,2;16,81;56
12/12/2011;321,34;923;3620;0;7,4;17,31;50
13/12/2011;321,26;1542;3693;0,6;3,1;7,23;70
14/12/2011;321,16;925;3607;3,7;4,6;10,75;66
15/12/2011;321,08;1574;3714;10,9;6,9;15,86;58
16/12/2011;320,96;440;3641;2,8;8,4;19,32;64
17/12/2011;320,9;1485;3081;2,9;4,8;11,08;87
18/12/2011;320,86;1543;2605;14,4;4,7;10,74;95
19/12/2011;320,8;971;2562;0;7,8;17,83;56
20/12/2011;320,76;1355;2414;0;8,2;18,86;61
21/12/2011;320,75;1691;1956;0;8,3;18,87;59
22/12/2011;320,75;1952;1952;0;9,4;21,38;45
23/12/2011;320,74;1700;1964;0;9,9;22,69;41
24/12/2011;320,71;1131;1924;0;7;15,87;55
25/12/2011;320,7;1622;1887;3,1;5;11,32;79
26/12/2011;320,7;1947;1947;0,9;5,9;13,41;98
27/12/2011;320,68;1438;1966;0;7,8;17,81;62
28/12/2011;320,67;1644;1908;0;7;15,97;88
29/12/2011;320,64;1135;1926;0;4,8;10,91;72
30/12/2011;320,61;1163;1953;0,4;5,2;11,81;91
31/12/2011;320,6;1703;1966;0;1,8;4,17;92
1/1/2012;320,64;2967;1913;16,6;1,9;4,33;73
2/1/2012;320,67;2703;1912;5,8;2,2;5,11;82
3/1/2012;320,67;1946;1946;2,4;6,9;15,76;68
4/1/2012;320,66;1666;1929;0;6,5;14,87;67
5/1/2012;320,66;1954;1954;0;4,8;10,85;81
6/1/2012;320,66;1942;1942;0;6,4;14,65;78
7/1/2012;320,67;2076;1812;0;6,5;14,8;86
8/1/2012;320,7;2752;1960;0;6;13,57;78
9/1/2012;320,74;2991;1948;0;6,3;14,27;69
10/1/2012;320,77;2771;1963;0;5,6;12,79;63
11/1/2012;320,79;2312;1782;0;9,3;21,2;57
12/1/2012;320,83;2992;1932;0;7,7;17,55;52
13/1/2012;320,88;2934;1607;0;4,6;10,61;78
14/1/2012;320,91;2356;1559;9;3,4;7,8;85
15/1/2012;320,95;2668;1604;28,2;4,3;9,97;87
16/1/2012;320,99;2731;1666;0;4,8;11,02;79
17/1/2012;321,04;3100;1766;0;2,7;6,31;79
18/1/2012;321,07;2515;1741;4;4;9,2;70
19/1/2012;321,1;2532;1704;8;3;6,93;88
20/1/2012;321,2;4599;1921;16,8;3,2;7,4;94
21/1/2012;321,23;2660;1856;2,3;1,1;2,48;95
22/1/2012;321,26;2839;2034;4,1;1,9;4,34;90
23/1/2012;321,33;3805;1922;8,6;4,9;11,35;76
24/1/2012;321,4;3824;1937;1,5;5,3;12,3;76
25/1/2012;321,44;3027;1947;0;2,5;5,83;69
26/1/2012;321,51;3819;1927;9,3;2,9;6,71;87
27/1/2012;321,6;4909;2470;0;2,6;5,97;87
28/1/2012;321,64;4079;2993;43,2;4,8;11,15;75
29/1/2012;321,64;2882;2882;0;6,9;16,15;70
30/1/2012;321,63;2753;3025;0;5,5;12,82;78
31/1/2012;321,63;3019;3019;0;6,2;14,55;57
1/2/2012;321,62;2732;3003;0;5,2;12,16;77
2/2/2012;321,61;2652;2924;0;5,8;13,59;66
3/2/2012;321,61;2947;2947;0;4,1;9,62;76
4/2/2012;321,6;2683;2955;17,5;5;11,73;86
5/2/2012;321,6;2942;2942;0;5,6;13,22;80
6/2/2012;321,56;1885;2970;0;6,6;15,46;85
7/2/2012;321,53;1060;1873;13;5,8;13,62;91
8/2/2012;321,56;2733;1920;0;5,3;12,38;84
9/2/2012;321,59;2711;1897;0;4,4;10,23;73
10/2/2012;321,6;2177;1906;1,3;5,9;13,8;60
11/2/2012;321,63;2710;1895;0;5,7;13,39;59
12/2/2012;321,61;1322;1865;3,8;6,6;15,57;65
13/2/2012;321,62;2159;1888;0;2,6;6,15;72
14/2/2012;321,68;3524;1893;15,4;4,8;11,29;80
15/2/2012;321,67;1618;1890;8,9;5,4;12,73;92
16/2/2012;321,67;1882;1882;0;3,6;8,46;70
17/2/2012;321,69;2415;1871;19,8;1,9;4,37;95
18/2/2012;321,72;2680;1863;0,7;4,5;10,61;75
19/2/2012;321,75;2663;1845;0;5,1;11,99;83
20/2/2012;321,78;2713;1894;0;4,9;11,55;76
21/2/2012;321,83;3259;1893;0,6;5,6;13,16;85
22/2/2012;321,85;2334;1787;0;4,8;11,28;68
23/2/2012;321,87;2438;1891;0;6,5;15,27;60
24/2/2012;321,88;2166;1893;0;9,3;21,93;70
25/2/2012;321,92;2969;1874;0;4,5;10,76;88
26/2/2012;321,91;1589;1863;0;5,4;12,78;63
27/2/2012;321,9;1554;1828;0;6,6;15,62;83
28/2/2012;321,94;2969;1873;0;7,7;18,14;77
29/2/2012;321,94;1877;1877;0;4,4;10,3;74
1/3/2012;321,95;2170;1896;1,2;5,5;13,08;76
2/3/2012;321,98;2707;1884;0;2,2;5,12;80
3/3/2012;322,01;2711;1887;0;7,4;17,65;78
4/3/2012;322,03;1998;1449;0;6,7;15,96;82
5/3/2012;322,05;2023;1473;0;6,5;15,52;60
6/3/2012;322,06;1805;1530;3,9;3;7,06;82
7/3/2012;322,08;2191;1640;25,1;0,8;1,95;96
8/3/2012;322,11;2485;1658;3;1,5;3,66;98
9/3/2012;322,15;2749;1646;2,2;3,1;7,41;85
10/3/2012;322,17;2099;1547;0;6,4;15,16;88
11/3/2012;322,21;2479;1374;0;6,3;14,96;72
12/3/2012;322,26;2831;1448;0;6,6;15,65;67
13/3/2012;322,33;3416;1476;0;5,8;13,77;68
14/3/2012;322,37;2628;1517;0;6,5;16,01;60
15/3/2012;322,44;3519;1573;0;6;14,51;80
16/3/2012;322,48;2796;1682;0;6,3;15,06;76
17/3/2012;322,55;3359;1407;0;3,9;9,3;74
18/3/2012;322,59;2255;1137;0;4,4;10,65;88
19/3/2012;322,66;3108;1149;4,8;3,2;7,83;94
20/3/2012;322,69;2011;1170;0;3,4;8,19;90
21/3/2012;322,73;2650;1528;0;1,9;4,61;91
22/3/2012;322,79;2870;1185;0;6,3;15,35;93
23/3/2012;322,83;2635;1510;1,4;5,2;12,72;87
24/3/2012;322,86;2364;1519;0;4,6;11,15;80
